id,title,budget,release_date,revenue,tagline,rating,director_id
43632,Transformers: Revenge of the Fallen,150000000,2009-06-19,836297228,Revenge is coming.,6.0,4788
43633,Transformers: Age of Extinction,210000000,2014-06-25,1091405097,This is not war. It's extinction.,5.8,4788
43634,Oz: The Great and Powerful,200000000,2013-03-07,491868548,"In Oz, nothing is what it seems",5.7,4767
43635,The Amazing Spider-Man 2,200000000,2014-04-16,705717432,No more secrets.,6.5,4778
43636,TRON: Legacy,170000000,2010-12-10,400062763,The Game Has Changed.,6.3,4789
43637,Cars 2,200000000,2011-06-11,559852396,Ka-ciao!,5.8,4790
43638,Green Lantern,200000000,2011-06-16,219851172,"In our darkest hour, there will be light.",5.1,4791
43639,Toy Story 3,200000000,2010-06-16,1066969703,No toy gets left behind.,7.6,4792
43640,Terminator Salvation,200000000,2009-05-20,371353001,The End Begins.,5.9,4793
43641,Furious 7,190000000,2015-04-01,1506249360,Vengeance Hits Home,7.3,4794
43642,World War Z,200000000,2013-06-20,531865000,Remember Philly!,6.7,4773
43643,X-Men: Days of Future Past,250000000,2014-05-15,747862775,"To save the future, they must alter the past",7.5,4772
43644,Star Trek Into Darkness,190000000,2013-05-05,467365246,Earth Will Fall,7.4,4795
43645,Jack the Giant Slayer,195000000,2013-02-27,197687603,Prepare for a giant adventure,5.5,4772
43646,The Great Gatsby,105000000,2013-05-10,351040419,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,4796
43647,Prince of Persia: The Sands of Time,150000000,2010-05-19,335154643,Defy the Future,6.2,4797
43648,Pacific Rim,180000000,2013-07-11,407602906,"To Fight Monsters, We Created Monsters",6.7,4798
43649,Transformers: Dark of the Moon,195000000,2011-06-28,1123746996,The invasion we always feared. An enemy we never expected.,6.1,4788
43650,Indiana Jones and the Kingdom of the Crystal Skull,185000000,2008-05-21,786636033,The adventure continues . . .,5.7,4799
43651,The Good Dinosaur,175000000,2015-11-14,331926147,Little Arms With Big Attitude,6.6,4800
43652,Brave,185000000,2012-06-21,538983207,Change your fate.,6.7,4801
43653,Star Trek Beyond,185000000,2016-07-07,343471816,,6.6,4802
43654,WALL·E,180000000,2008-06-22,521311860,An adventure beyond the ordinar-E.,7.8,4766
43655,Rush Hour 3,140000000,2007-08-08,258022233,The Rush Is On!,6.1,4786
43656,2012,200000000,2009-10-10,769653595,We Were Warned.,5.6,4803
43657,A Christmas Carol,200000000,2009-11-04,325233863,Season's Greedings,6.6,4804
43658,Jupiter Ascending,176000003,2015-02-04,183987723,Expand your universe.,5.2,4805
43659,The Legend of Tarzan,180000000,2016-06-29,356743061,Human. Nature.,5.5,4770
43660,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,2005-12-07,748806957,Evil Has Reigned For 100 Years...,6.7,4774
43661,X-Men: Apocalypse,178000000,2016-05-18,543934787,Only the strong will survive,6.4,4772
43662,The Dark Knight,185000000,2008-07-16,1004558444,Why So Serious?,8.2,4765
43663,Up,175000000,2009-05-13,735099082,,7.7,4806
43664,Monsters vs Aliens,175000000,2009-03-19,381509870,"When aliens attack, monsters fight back.",6.0,4807
43665,Iron Man,140000000,2008-04-30,585174222,Heroes aren't born. They're built.,7.4,4808
43666,Hugo,170000000,2011-11-22,185770160,One of the most legendary directors of our time takes you on an extraordinary adventure.,7.0,4809
43667,Wild Wild West,170000000,1999-06-29,222104681,It's a whole new west.,5.1,4776
43668,The Mummy: Tomb of the Dragon Emperor,145000000,2008-07-01,401128639,A New Evil Awakens.,5.2,4810
43669,Suicide Squad,175000000,2016-08-02,745000000,Worst Heroes Ever,5.9,4811
43670,Evan Almighty,175000000,2007-06-09,173000000,A comedy of biblical proportions,5.3,4812
43671,Edge of Tomorrow,178000000,2014-05-27,370541256,"Live, Die, Repeat",7.6,4813
43672,Waterworld,175000000,1995-07-28,264218220,Beyond the horizon lies the secret to a new beginning.,5.9,4814
43673,G.I. Joe: The Rise of Cobra,175000000,2009-08-04,302469017,"When all else fails, they don't.",5.6,4815
43674,Inside Out,175000000,2015-06-09,857611174,Meet the little voices inside your head.,8.0,4806
43675,The Jungle Book,175000000,2016-04-07,966550600,,6.7,4808
43676,Iron Man 2,200000000,2010-04-28,623933331,"It's not the armor that makes the hero, but the man inside.",6.6,4808
43677,Snow White and the Huntsman,170000000,2012-05-30,396600000,The Fairytale is Over,5.8,4816
43678,Maleficent,180000000,2014-05-28,758539785,Don't believe the fairy tale.,7.0,4817
43679,Dawn of the Planet of the Apes,170000000,2014-06-26,710644566,One last chance for peace.,7.3,4818
43680,The Lovers,27000000,2015-02-13,0,Love is longer than life.,4.8,4819
43681,47 Ronin,175000000,2013-12-06,150962475,For courage. For loyalty. For honor.,5.9,4820
43682,Captain America: The Winter Soldier,170000000,2014-03-20,714766572,In heroes we trust.,7.6,4781
43683,Shrek Forever After,165000000,2010-05-16,752600867,It ain't Ogre... Til it's Ogre,6.0,4821
43684,Tomorrowland,190000000,2015-05-19,209154322,Imagine a world where nothing is impossible.,6.2,4822
43685,Big Hero 6,165000000,2014-10-24,652105443,From the creators of Wreck-it Ralph and Frozen,7.8,4823
43686,Wreck-It Ralph,165000000,2012-11-01,471222889,The story of a regular guy just looking for a little wreck-ognition.,7.1,4824
43687,The Polar Express,165000000,2004-11-10,305875730,This holiday season... believe.,6.4,4804
43688,Independence Day: Resurgence,165000000,2016-06-22,389681935,We had twenty years to prepare. So did they.,4.9,4803
43689,How to Train Your Dragon,165000000,2010-03-05,494878759,One adventure will change two worlds,7.5,4825
43690,Terminator 3: Rise of the Machines,200000000,2003-07-02,435000000,The Machines Will Rise.,5.9,4826
43691,Guardians of the Galaxy,170000000,2014-07-30,773328629,All heroes start somewhere.,7.9,4827
43692,Interstellar,165000000,2014-11-05,675120017,Mankind was born on Earth. It was never meant to die here.,8.1,4765
43693,Inception,160000000,2010-07-14,825532764,Your mind is the scene of the crime.,8.1,4765
43694,シン・ゴジラ,15000000,2016-07-29,77000000,A god incarnate. A city doomed.,6.5,4828
43695,The Hobbit: An Unexpected Journey,250000000,2012-11-26,1021103568,From the smallest beginnings come the greatest legends.,7.0,4777
43696,The Fast and the Furious,38000000,2001-06-22,207283925,Live life 1/4 mile at a time.,6.6,4810
43697,The Curious Case of Benjamin Button,150000000,2008-11-24,333932083,"Life isn't measured in minutes, but in moments.",7.3,4829
43698,X-Men: First Class,160000000,2011-05-24,353624124,Witness the moment that will change our world.,7.1,4830
43699,The Hunger Games: Mockingjay - Part 2,160000000,2015-11-18,653428261,The fire will burn forever.,6.6,4831
43700,The Sorcerer's Apprentice,150000000,2010-07-13,215283742,It's The Coolest Job Ever.,5.8,4832
43701,Poseidon,160000000,2006-05-12,181674817,Mayday,5.5,4833
43702,Alice Through the Looking Glass,170000000,2016-05-25,299370084,It's time for a little madness.,6.5,4834
43703,Shrek the Third,160000000,2007-05-17,798958165,Who's ready for Thirds?,6.0,4835
43704,Warcraft,160000000,2016-05-25,433677183,Two worlds. One home.,6.3,4836
43705,Terminator Genisys,155000000,2015-06-23,440603537,Reset the future,5.8,4837
43706,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,2010-08-13,415686217,Return to magic. Return to hope. Return to Narnia.,6.2,4838
43707,Pearl Harbor,140000000,2001-05-21,449220945,It takes a moment to change history. It takes love to change lives.,6.6,4788
43708,Transformers,150000000,2007-06-27,709709780,Their war. Our world.,6.6,4788
43709,Alexander,155000000,2004-11-21,167298192,The greatest legend of all was real.,5.6,4839
43710,Harry Potter and the Order of the Phoenix,150000000,2007-06-28,938212738,Evil Must Be Confronted.,7.4,4770
43711,Harry Potter and the Goblet of Fire,150000000,2005-11-05,895921036,Dark And Difficult Times Lie Ahead.,7.5,4797
43712,Hancock,150000000,2008-07-01,624029371,Bad Behavior. Bad Attitude. Real Hero.,6.2,4782
43713,I Am Legend,150000000,2007-12-14,585349010,The last man on Earth is not alone,6.9,4831
43714,Charlie and the Chocolate Factory,150000000,2005-07-13,474968763,Willy Wonka is semi-sweet and nuts.,6.7,4785
43715,Ratatouille,150000000,2007-06-22,623722818,He's dying to become a chef.,7.5,4840
43716,Batman Begins,150000000,2005-06-10,374218673,Evil fears the knight.,7.5,4765
43717,Madagascar: Escape 2 Africa,150000000,2008-10-30,603900354,Still together. Still lost!,6.2,4841
43718,Night at the Museum: Battle of the Smithsonian,150000000,2009-05-20,413106170,When the lights go off the battle is on.,5.9,4842
43719,X-Men Origins: Wolverine,150000000,2009-04-28,373062864,Witness the Origin.,6.2,4843
43720,The Matrix Revolutions,150000000,2003-11-05,424988211,Everything that has a beginning has an end.,6.4,4805
43721,Frozen,150000000,2013-11-27,1274219009,Only the act of true love will thaw a frozen heart.,7.3,4844
43722,The Matrix Reloaded,150000000,2003-05-15,738599701,Free your mind.,6.7,4805
43723,Thor: The Dark World,170000000,2013-10-29,644571402,Delve into the darkness,6.8,4837
43724,Mad Max: Fury Road,150000000,2015-05-13,378858340,What a Lovely Day.,7.2,4845
43725,Angels & Demons,150000000,2009-05-13,356613439,,6.5,4846
43726,Thor,150000000,2011-04-21,449326618,Two worlds. One hero.,6.6,4847
43727,Bolt,150000000,2008-11-21,309979994,Fully Awesome. Ridonculous. Let It Begin.,6.3,4823
43728,G-Force,150000000,2009-07-21,292817841,The world needs bigger heroes,5.1,4848
43729,Wrath of the Titans,150000000,2012-03-27,301000000,Feel the Wrath,5.5,4849
43730,Dark Shadows,150000000,2012-05-08,245527149,Every Family Has Its Demons,5.7,4785
43731,Mission: Impossible - Rogue Nation,150000000,2015-07-23,682330139,Desperate Times. Desperate Measures.,7.1,4850
43732,The Wolfman,150000000,2010-02-11,0,When the moon is full the legend comes to life,5.5,4851
43733,Bee Movie,150000000,2007-10-28,287594577,Born to bee wild.,5.7,4852
43734,Kung Fu Panda 2,150000000,2011-05-25,665692281,Prepare for the Year of Awesomeness!,6.7,4853
43735,The Last Airbender,150000000,2010-06-30,318502923,"Four nations, one destiny",4.7,4854
43736,Mission: Impossible III,150000000,2006-05-03,397850012,The Mission Begins 05:05:06.,6.5,4795
43737,White House Down,150000000,2013-06-27,205366737,It will start like any other day.,6.4,4803
43738,Mars Needs Moms,150000000,2011-03-09,38992758,Mom needs a little space.,5.5,4855
43739,Flushed Away,149000000,2006-10-22,64459316,Someone's Going Down,6.0,4856
43740,Pan,150000000,2015-09-24,128388320,Every legend has a beginning.,5.9,4857
43741,Mr. Peabody & Sherman,145000000,2014-02-07,272912430,He's Leaving His Mark On History,6.7,4858
43742,Troy,175000000,2004-05-13,497409852,For passion. For honor. For destiny. For victory. For love.,6.9,4833
43743,Madagascar 3: Europe's Most Wanted,145000000,2012-06-06,746921274,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",6.4,4807
43744,Die Another Day,140000000,2002-11-17,431971116,He’s never been cooler.,5.8,4859
43745,Ghostbusters,144000000,2016-07-14,229147509,Who You Gonna Call?,5.3,4860
43746,Armageddon,140000000,1998-07-01,553799566,The Earth's Darkest Day Will Be Man's Finest Hour,6.4,4788
43747,Men in Black II,140000000,2002-07-03,441818803,Same Planet. New Scum.,6.0,4776
43748,Beowulf,70000000,2007-11-05,195735876,Evil breeds pain.,5.5,4804
43749,Kung Fu Panda 3,145000000,2016-01-23,521170825,Grab destiny by the rice dumplings.,6.7,4853
43750,Mission: Impossible - Ghost Protocol,145000000,2011-12-07,694713380,No Plan. No Backup. No Choice.,6.8,4822
43751,Rise of the Guardians,145000000,2012-11-21,306941670,You better believe.,7.1,4861
43752,Fun with Dick and Jane,100000000,2005-12-21,202026112,Giving big businesses a run for their money!,5.9,4862
43753,The Last Samurai,140000000,2003-12-05,456758981,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",7.3,4863
43754,Exodus: Gods and Kings,140000000,2014-12-03,268031828,"Once brothers, now enemies.",5.6,4779
43755,Star Trek,150000000,2009-05-06,385680446,The future begins.,7.4,4795
43756,Spider-Man,139000000,2002-05-01,821708551,With great power comes great responsibility.,6.8,4767
43757,How to Train Your Dragon 2,145000000,2014-06-12,609123048,The training is over.,7.6,4864
43758,Gods of Egypt,140000000,2016-02-25,150680864,The battle for eternity begins,5.3,4865
43759,Stealth,135000000,2005-07-28,76932943,Fear The Sky,4.9,4810
43760,Watchmen,130000000,2009-03-05,185258983,Justice is coming to all of us.  No matter what we do.,7.0,4771
43761,Lethal Weapon 4,140000000,1998-07-10,285444603,The faces you love. The action you expect.,6.3,4866
43762,Hulk,137000000,2003-06-19,245360480,Unleash the hero within,5.3,4867
43763,G.I. Joe: Retaliation,130000000,2013-03-26,371876278,,5.4,4868
43764,Sahara,130000000,2005-04-06,119269486,Dirk Pitt. Adventure has a new name.,5.7,4869
43765,Final Fantasy: The Spirits Within,137000000,2001-07-02,85131830,Unleash a new reality,5.9,4870
43766,Captain America: The First Avenger,140000000,2011-07-22,370569774,When patriots become heroes,6.6,4851
43767,The World Is Not Enough,135000000,1999-11-08,361832400,As the countdown begins for the new millennium there is still one number you can always count on.,6.0,4838
43768,Master and Commander: The Far Side of the World,150000000,2003-11-14,212011111,The courage to do the impossible lies in the hearts of men.,6.9,4871
43769,The Twilight Saga: Breaking Dawn - Part 2,120000000,2012-11-13,829000000,The epic finale that will live forever,6.1,4872
43770,Happy Feet Two,130000000,2011-11-17,150406466,Every step counts.,5.8,4845
43771,The Incredible Hulk,150000000,2008-06-12,163712074,You'll like him when he's angry.,6.1,4873
43772,The BFG,140000000,2016-06-01,183345589,The world is more giant than you can imagine.,6.0,4799
43773,The Revenant,135000000,2015-12-25,532950503,"(n. One who has returned, as if from the dead.)",7.3,4874
43774,Turbo,135000000,2013-07-11,282570682,SLO NO MO,6.1,4875
43775,Rango,135000000,2011-03-02,245724603,Heroes come in all different colors.,6.6,4763
43776,Penguins of Madagascar,132000000,2014-11-22,373552094,The Movie Event That Will Blow Their Cover,6.5,4841
43777,The Bourne Ultimatum,70000000,2007-08-03,442824138,Remember everything. Forgive nothing.,7.3,4876
43778,Kung Fu Panda,130000000,2008-06-04,631744560,Prepare for awesomeness.,6.9,4877
43779,Ant-Man,130000000,2015-07-14,519311965,Heroes don't get any bigger.,7.0,4878
43780,The Hunger Games: Catching Fire,130000000,2013-11-15,847423452,Every revolution begins with a spark.,7.4,4831
43781,Home,135000000,2015-03-18,368871007,Worlds Collide,6.8,4879
43782,War of the Worlds,132000000,2005-06-28,591739379,They're already here.,6.2,4799
43783,Bad Boys II,130000000,2003-07-18,273339556,"If you can't stand the heat, get out of Miami.",6.3,4788
43784,Puss in Boots,130000000,2011-10-28,554987477,Live for danger. Fight for justice. Pray for mercy.,6.4,4835
43785,Salt,110000000,2010-07-21,293329073,Who is Salt?,6.2,4880
43786,Noah,125000000,2014-03-20,362637473,The end of the world is just the beginning.,5.6,4881
43787,The Adventures of Tintin,130000000,2011-10-25,371940071,"This year, discover how far adventure will take you.",6.7,4799
43788,Harry Potter and the Prisoner of Azkaban,130000000,2004-05-31,789804554,Something wicked this way comes.,7.7,4882
43789,Australia,130000000,2008-11-18,49554002,Welcome to Australia!,6.3,4796
43790,After Earth,130000000,2013-05-30,243843127,"Danger is real, fear is a choice",5.0,4854
43791,Dinosaur,127500000,2000-05-19,354248063,You have never seen anything like this.,6.2,4883
43792,Night at the Museum: Secret of the Tomb,127000000,2014-12-17,349424282,One Final Night to Save the Day.,6.1,4842
43793,Megamind,130000000,2010-10-28,321887208,His brain is off the chain.,6.7,4884
43794,Harry Potter and the Philosopher's Stone,125000000,2001-11-16,976475550,Let the Magic Begin.,7.5,4885
43795,R.I.P.D.,130000000,2013-07-18,61648500,To protect and serve the living,5.4,4886
43796,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,2003-07-09,655011224,Prepare to be blown out of the water.,7.5,4763
43797,The Hunger Games: Mockingjay - Part 1,125000000,2014-11-18,752100229,Fire burns brighter in the darkness,6.6,4831
43798,The Da Vinci Code,125000000,2006-05-17,767820459,Seek the truth.,6.5,4846
43799,Rio 2,103000000,2014-03-19,500188435,"He's villainous, she's venomous.",6.3,4887
43800,X2,110000000,2003-04-24,407711549,The time has come for those who are different to stand united.,6.8,4772
43801,Fast Five,125000000,2011-04-20,626137675,Get the Fifth Gear.,7.1,4802
43802,Sherlock Holmes: A Game of Shadows,125000000,2011-11-22,334615000,The game is afoot.,7.0,4888
43803,Clash of the Titans,125000000,2010-04-01,232713139,Titans will clash.,5.6,4873
43804,Total Recall,65000000,1990-06-01,261317921,"They stole his mind, now he wants it back.",7.1,4889
43805,The 13th Warrior,160000000,1999-08-27,61698899,Prey for the living.,6.4,4890
43806,The Bourne Legacy,130000000,2012-08-08,276572938,There Was Never Just One,6.0,4891
43807,Batman & Robin,125000000,1997-06-20,238207122,Strength. Courage. Honor. And loyalty.,4.2,4892
43808,How the Grinch Stole Christmas,123000000,2000-11-17,345141403,He puts the mean in green.,6.2,4846
43809,The Day After Tomorrow,125000000,2004-05-26,544272402,Where will you be?,6.2,4803
43810,Mission: Impossible II,125000000,2000-05-24,546388105,Expect the impossible again.,5.9,4893
43811,The Perfect Storm,120000000,2000-03-15,325756637,The storm is coming.,6.2,4833
43812,4: Rise of the Silver Surfer,130000000,2007-06-13,289047763,Discover the secret of the Surfer.,5.4,4894
43813,Life of Pi,120000000,2012-11-20,609016565,Believe The Unbelievable,7.2,4867
43814,Ghost Rider,110000000,2007-02-16,228738393,Hell Is About To Be Unleashed,5.2,4895
43815,Jason Bourne,120000000,2016-07-27,415484914,You know his name,5.9,4876
43816,Charlie's Angels: Full Throttle,120000000,2003-06-27,259175788,This summer the Angels are back.,5.2,4793
43817,Prometheus,130000000,2012-05-30,403170142,The Search for Our Beginning Could Lead to Our End.,6.3,4779
43818,Stuart Little 2,120000000,2002-07-19,169956806,A Little Goes A Long Way,5.4,4858
43819,Elysium,115000000,2013-08-07,286140700,He can save us all.,6.4,4896
43820,The Chronicles of Riddick,105000000,2004-06-11,115772733,All the power in the universe can't change destiny,6.3,4897
43821,RoboCop,120000000,2014-01-30,242688965,We've got the future under control.,5.7,4898
43822,Speed Racer,120000000,2008-05-09,93945766,Go!,5.7,4805
43823,How Do You Know,120000000,2010-12-17,48668907,How do you know it's love?,4.9,4899
43824,Knight and Day,117000000,2010-06-15,261930431,Every Hit Man Deserves a Second Shot!,5.9,4900
43825,Oblivion,120000000,2013-04-10,286168572,Earth is a memory worth fighting for,6.4,4789
43826,Star Wars: Episode III - Revenge of the Sith,113000000,2005-05-17,850000000,The saga is complete.,7.1,4901
43827,Star Wars: Episode II - Attack of the Clones,120000000,2002-05-15,649398328,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4,4901
43828,"Monsters, Inc.",115000000,2001-11-01,562816256,We Scare Because We Care.,7.5,4806
43829,The Wolverine,120000000,2013-07-23,415440673,"When he's most vulnerable, he's most dangerous.",6.3,4900
43830,Star Wars: Episode I - The Phantom Menace,115000000,1999-05-19,924317558,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.3,4901
43831,The Croods,135000000,2013-03-20,585178928,Meet the first modern family.,6.8,4825
43832,Astérix aux Jeux Olympiques,97250400,2008-01-13,132900000,,5.0,4902
43833,Windtalkers,115000000,2002-06-14,77628265,Honor Was Their Code.,5.8,4893
43834,The Huntsman: Winter's War,115000000,2016-04-06,164602163,The story before Snow White,6.0,4903
43835,Teenage Mutant Ninja Turtles,125000000,2014-08-07,477200000,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8,4849
43836,Gravity,105000000,2013-09-27,716392705,Don't Let Go,7.3,4882
43837,Dante's Peak,116000000,1997-02-07,178127760,The pressure is building...,5.7,4904
43838,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,2016-06-01,245623848,Raise some shell.,5.8,4905
43839,Fantastic Four,120000000,2015-08-05,167977596,Change is coming.,4.4,4906
43840,Night at the Museum,110000000,2006-10-20,574480841,Where History Comes To Life,6.3,4842
43841,San Andreas,110000000,2015-05-27,470490832,"A rescue pilot survived an earthquake, this is what happens next",6.0,4907
43842,Tomorrow Never Dies,110000000,1997-12-11,333011068,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,6.0,4908
43843,The Patriot,110000000,2000-06-28,215294342,Some things are worth fighting for.,6.8,4803
43844,Ocean's Twelve,110000000,2004-12-09,362744280,Twelve is the new eleven.,6.4,4909
43845,Mr. & Mrs. Smith,110000000,2005-06-07,478207520,Smart and sexy.,6.5,4813
43846,Insurgent,110000000,2015-03-18,295238201,One Choice Can Destroy You,6.2,4886
43847,The Aviator,116000000,2004-12-17,102000000,"For some men, the sky was the limit. For him, it was just the beginning.",7.0,4809
43848,Gulliver's Travels,112000000,2010-12-25,237382724,Something big is going down.,4.9,4910
43849,The Green Hornet,120000000,2011-01-12,227817248,Breaking the Law to Protect It.,5.5,4911
43850,300: Rise of an Empire,110000000,2014-03-05,337580051,Seize your glory!,6.1,4912
43851,The Smurfs,110000000,2011-07-29,563749323,Smurf Happens.,5.5,4913
43852,Home on the Range,110000000,2004-04-02,103951461,Bust a Moo,5.7,4914
43853,Allegiant,110000000,2016-03-09,179246868,Break the boundaries of your world,5.9,4886
43854,Real Steel,110000000,2011-09-28,299268508,"If you get one shot, make it real.",6.6,4842
43855,The Smurfs 2,105000000,2013-07-30,347434178,Get ready to get naughty!,5.5,4913
43856,Speed 2: Cruise Control,160000000,1997-06-13,164508066,"As the stakes get higher, the ride gets even faster.",4.1,4915
43857,Ender's Game,110000000,2013-10-23,125537191,This is not a game.,6.6,4843
43858,Live Free or Die Hard,110000000,2007-06-20,383531464,The old school cop is back!,6.4,4916
43859,The Lord of the Rings: The Fellowship of the Ring,93000000,2001-12-18,871368364,One ring to rule them all,8.0,4777
43860,Around the World in 80 Days,110000000,2004-06-16,72178895,Let your imagination soar.,5.7,4917
43861,Ali,107000000,2001-12-11,87713825,Float like a butterfly and sting like a bee.,6.7,4918
43862,The Cat in the Hat,0,2003-11-21,0,Don't mess with the hat.,4.9,4919
43863,"I, Robot",120000000,2004-07-15,347234916,Laws are made to be broken.,6.7,4865
43864,Kingdom of Heaven,130000000,2005-05-03,211643158,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",6.6,4779
43865,Stuart Little,133000000,1999-12-17,300135367,The Little Family Just Got Bigger,5.8,4858
43866,The Princess and the Frog,105000000,2009-12-08,267045765,Every Love Story Begins With a Kiss...,6.7,4920
43867,The Martian,108000000,2015-09-30,630161890,Bring Him Home,7.6,4779
43868,The Island,126000000,2005-07-20,162949164,Your time will come...,6.5,4788
43869,Town & Country,90000000,2001-04-27,10372291,There's no such thing as a small affair.,3.7,4921
43870,Gone in Sixty Seconds,90000000,2000-06-09,237202299,"Ice Cold, Hot Wired.",6.1,4922
43871,Gladiator,103000000,2000-05-01,457640427,A Hero Will Rise.,7.9,4779
43872,Minority Report,102000000,2002-06-20,358372926,The system is perfect until it comes after you.,7.1,4799
43873,Harry Potter and the Chamber of Secrets,100000000,2002-11-13,876688482,Hogwarts is back in session.,7.4,4885
43874,Casino Royale,150000000,2006-11-14,599045960,Everyone has a past. Every legend has a beginning.,7.3,4791
43875,Planet of the Apes,100000000,2001-07-25,362211740,You'll be sorry you were ever born human,5.6,4785
43876,Terminator 2: Judgment Day,100000000,1991-07-01,520000000,It's nothing personal.,7.7,4762
43877,Public Enemies,80000000,2009-07-01,214104620,America's Most Wanted.,6.5,4918
43878,American Gangster,100000000,2007-11-02,266465037,There are two sides to the American dream,7.4,4779
43879,True Lies,115000000,1994-07-14,378882411,"When he said I do, he never said what he did.",6.8,4762
43880,The Taking of Pelham 1 2 3,100000000,2009-06-11,150166126,I can't get it out of my head. I'm gonna die today.,6.2,4923
43881,Little Fockers,100000000,2010-12-21,310650585,"Kids bring everyone closer, right?",5.4,4924
43882,The Other Guys,100000000,2010-08-06,170432927,When the cops are busy... Our only hope is...,6.1,4925
43883,Eraser,100000000,1996-06-21,242295562,He will erase your past to protect your future.,5.6,4926
43884,Django Unchained,100000000,2012-12-25,425368238,"Life, liberty and the pursuit of vengeance.",7.8,4927
43885,The Hunchback of Notre Dame,100000000,1996-06-21,100138851,,6.8,4928
43886,The Emperor's New Groove,100000000,2000-12-09,169327687,It's All About.....ME!,7.2,4929
43887,The Expendables 2,100000000,2012-08-08,312573423,Back for War.,6.1,4930
43888,National Treasure,100000000,2004-11-19,347451894,The greatest adventure history has ever revealed.,6.4,4832
